date,adj_close,close,high,low,open,volume,sma_20,sma_50,ema_12,ema_26,macd,signal_line,rsi_14,bb_mid,bb_upper,bb_lower,daily_return_%
1997-07-01,4300.85986328125,4300.85986328125,4301.77001953125,4247.66015625,4263.10986328125,0,Unknown,Unknown,4300.85986328125,4300.85986328125,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown
1997-07-02,4333.89990234375,4333.89990234375,4395.31005859375,4295.39990234375,4302.9599609375,0,Unknown,Unknown,4305.942946213942,4303.307273582176,2.6356726317662837,0.5271345263532566,Unknown,Unknown,Unknown,Unknown,0.7682193820026662
1997-07-03,4323.4599609375,4323.4599609375,4393.2900390625,4299.97021484375,4335.7900390625,0,Unknown,Unknown,4308.637871556028,4304.800065238126,3.8378063179015953,1.1892688846629245,Unknown,Unknown,Unknown,Unknown,-0.2408902291583636
1997-07-04,4323.81982421875,4323.81982421875,4347.58984375,4300.580078125,4332.7001953125,0,Unknown,Unknown,4310.973556581062,4306.208936273728,4.764620307334553,1.9043391691972504,Unknown,Unknown,Unknown,Unknown,0.0083235021140826
1997-07-07,4291.4501953125,4291.4501953125,4391.009765625,4289.490234375,4326.81005859375,0,Unknown,Unknown,4307.969962539745,4305.115696202525,2.854266337219997,2.0943246028017994,Unknown,Unknown,Unknown,Unknown,-0.7486350084464632
1997-07-08,4306.39013671875,4306.39013671875,4313.0,4252.490234375,4285.64990234375,0,Unknown,Unknown,4307.726912413438,4305.210099203727,2.516813209711472,2.178822324183734,Unknown,Unknown,Unknown,Unknown,0.3481326993511224
1997-07-09,4404.68994140625,4404.68994140625,4404.830078125,4315.419921875,4315.419921875,0,Unknown,Unknown,4322.644301489256,4312.578976403914,10.06532508534201,3.7561228764153896,Unknown,Unknown,Unknown,Unknown,2.282649773167078
1997-07-10,4378.3701171875,4378.3701171875,4448.06005859375,4376.10986328125,4413.39013671875,0,Unknown,Unknown,4331.2175039043705,4317.452394239735,13.76510966463593,5.7579202340594975,Unknown,Unknown,Unknown,Unknown,-0.5975409068259441
1997-07-11,4321.97998046875,4321.97998046875,4372.75,4301.93017578125,4372.75,0,Unknown,Unknown,4329.7963464527365,4317.78777099744,12.008575455296524,7.008051278306903,Unknown,Unknown,Unknown,Unknown,-1.2879253057522022
1997-07-14,4225.02001953125,4225.02001953125,4251.7001953125,4182.419921875,4251.7001953125,0,Unknown,Unknown,4313.676911541738,4310.916085703649,2.760825838089658,6.158606190263455,Unknown,Unknown,Unknown,Unknown,-2.243415318341757
1997-07-15,4221.02001953125,4221.02001953125,4261.02978515625,4204.72021484375,4229.89013671875,0,Unknown,Unknown,4299.422005078586,4304.257117839026,-4.835112760440097,3.959862400122745,Unknown,Unknown,Unknown,Unknown,-0.0946741076139012
1997-07-16,4183.419921875,4183.419921875,4263.259765625,4171.0,4232.52978515625,0,Unknown,Unknown,4281.575530739573,4295.306214434284,-13.730683694710931,0.4217531811560087,Unknown,Unknown,Unknown,Unknown,-0.8907822631086582
1997-07-17,4193.60986328125,4193.60986328125,4202.31005859375,4152.259765625,4183.91015625,0,Unknown,Unknown,4268.0423511306,4287.773151385911,-19.730800255310896,-3.608757506137372,Unknown,Unknown,Unknown,Unknown,0.2435792150093929
1997-07-18,4124.81005859375,4124.81005859375,4193.72021484375,4115.72998046875,4174.72021484375,0,Unknown,Unknown,4246.006613817238,4275.701811179084,-29.695197361846112,-8.82604547727912,32.02505872827851,Unknown,Unknown,Unknown,-1.6405866766458832
1997-07-21,4154.27978515625,4154.27978515625,4155.5,4105.27978515625,4134.080078125,0,Unknown,Unknown,4231.89479402324,4266.707587029244,-34.81279300600363,-14.023394983024025,35.88346603616364,Unknown,Unknown,Unknown,0.7144505115114885
1997-07-22,4186.2900390625,4186.2900390625,4189.81982421875,4145.64990234375,4161.93994140625,0,Unknown,Unknown,4224.878677875434,4260.7507316243,-35.872053748866165,-18.393126736192453,35.756038859031875,Unknown,Unknown,Unknown,0.7705367852359535
1997-07-23,4251.1298828125,4251.1298828125,4258.60009765625,4182.31982421875,4204.830078125,0,Unknown,Unknown,4228.917324788828,4260.038076156759,-31.120751367931007,-20.938651662540163,43.68350133892783,Unknown,Unknown,Unknown,1.548861716340144
1997-07-24,4226.3701171875,4226.3701171875,4294.9501953125,4223.60986328125,4264.93017578125,0,Unknown,Unknown,4228.525446696316,4257.544153270148,-29.01870657383188,-22.55466264479851,41.837682027171056,Unknown,Unknown,Unknown,-0.5824278793528426
1997-07-25,4189.81005859375,4189.81005859375,4222.72998046875,4159.0,4218.2900390625,0,Unknown,Unknown,4222.569233142075,4252.526812923748,-29.957579781673303,-24.03524607217347,41.54603929875976,Unknown,Unknown,Unknown,-0.8650463064053482
1997-07-28,4181.47998046875,4181.47998046875,4197.2099609375,4163.52978515625,4191.91015625,0,4256.107983398438,Unknown,4216.247809653872,4247.2640845937485,-31.016274939876894,-25.43145184571416,39.49503776293615,4256.107983398438,4413.092967169098,4099.122999627777,-0.1988175599491493
1997-07-29,4217.580078125,4217.580078125,4218.97998046875,4171.10986328125,4180.58984375,0,4251.943994140625,Unknown,4216.452774034045,4245.065269299767,-28.61249526572192,-26.06766052971571,32.425374537589505,4251.943994140625,4408.347821638504,4095.5401666427465,0.8633330262220573
1997-07-30,4244.89013671875,4244.89013671875,4253.81005859375,4220.18017578125,4230.7998046875,0,4247.493505859375,Unknown,4220.827752908615,4245.052296515988,-24.22454360737265,-25.6990371452471,37.48593485491729,4247.493505859375,4399.069157328748,4095.9178543900016,0.6475291064512723
1997-07-31,4305.759765625,4305.759765625,4331.580078125,4245.52001953125,4252.3701171875,0,4246.60849609375,Unknown,4233.894216403443,4249.549146079618,-15.654929676175016,-23.690215651432684,48.49198257147864,4246.60849609375,4396.514070546095,4096.702921641404,1.433950631129921
1997-08-01,4347.31982421875,4347.31982421875,4356.5498046875,4314.06005859375,4322.18994140625,0,4247.78349609375,Unknown,4251.344309913491,4256.791418534369,-5.447108620877771,-20.041594245321704,62.67619747478121,4247.78349609375,4400.57785798225,4094.9891342052497,0.9652200971717928
1997-08-04,4465.3701171875,4465.3701171875,4478.18994140625,4392.47021484375,4392.47021484375,0,4256.4794921875,Unknown,4284.271357186415,4272.2416925086745,12.029664677740584,-13.627342460709244,70.48371344437996,4256.4794921875,4437.0160060422495,4075.94297833275,2.715472929115914
1997-08-05,4548.02001953125,4548.02001953125,4548.7900390625,4477.5,4477.5,0,4268.560986328125,Unknown,4324.848074470236,4292.669716732569,32.178357737666374,-4.466202421034122,78.41780009149096,4268.560986328125,4490.705729373769,4046.416243282481,1.850908215326319
1997-08-06,4523.009765625,4523.009765625,4605.41015625,4505.06005859375,4568.39013671875,0,4274.476977539062,Unknown,4355.334488494045,4309.731942576453,45.60254591759258,5.547547246691218,75.09446539542296,4274.476977539062,4517.231986130992,4031.721968947133,-0.5499152114292527
1997-08-07,4447.06005859375,4447.06005859375,4546.91015625,4439.47998046875,4527.91015625,0,4277.911474609375,Unknown,4369.446114663231,4319.904395614771,49.54171904846044,14.346381607045064,74.28520753084003,4277.911474609375,4528.667255329233,4027.155693889517,-1.679185121563742
1997-08-08,4397.5400390625,4397.5400390625,4467.18017578125,4373.2001953125,4460.22998046875,0,4281.689477539063,Unknown,4373.768256878503,4325.6551840183065,48.11307286019655,21.09971985767536,67.79466928218687,4281.689477539063,4537.467418455633,4025.911536622492,-1.1135451034791966
1997-08-11,4481.2998046875,4481.2998046875,4482.509765625,4423.68994140625,4434.02001953125,0,4294.503466796875,Unknown,4390.31157192604,4337.184415178987,53.12715674705305,27.505207235550905,70.0613348633845,4294.503466796875,4563.656162786245,4025.350770807505,1.9046959181946652
1997-08-12,4425.02978515625,4425.02978515625,4504.02978515625,4393.240234375,4496.7998046875,0,4304.703955078125,Unknown,4395.652835499919,4343.691479621747,51.96135587817207,32.396436964075136,61.96504557943023,4304.703955078125,4577.568440006001,4031.839470150248,-1.2556629099528371
1997-08-13,4370.1298828125,4370.1298828125,4419.33984375,4353.31982421875,4419.33984375,0,4314.039453125,Unknown,4391.726227394162,4345.649879858099,46.07634753606362,35.13241907847284,59.4973703361531,4314.039453125,4582.167106825625,4045.911799424376,-1.2406674081135385
1997-08-14,4320.97021484375,4320.97021484375,4381.52978515625,4290.1298828125,4372.2900390625,0,4320.407470703125,Unknown,4380.840687001792,4343.821756523703,37.018930478088805,35.509721358396035,58.52309793300216,4320.407470703125,4582.473272048722,4058.3416693575286,-1.1249017600619249
1997-08-19,4165.3701171875,4165.3701171875,4277.2900390625,4151.6298828125,4277.2900390625,0,4322.435473632812,Unknown,4347.691368568823,4330.603116572873,17.088251995950486,31.82542748590693,49.12132121671164,4322.435473632812,4578.691421983555,4066.179525282069,-3.601045365268196
1997-08-20,4234.6298828125,4234.6298828125,4238.08984375,4144.47021484375,4166.7900390625,0,4326.452978515625,Unknown,4330.297293837081,4323.493988146179,6.803305690902562,26.821003126906056,50.89748176660847,4326.452978515625,4573.979460612737,4078.9264964185127,1.6627517765879896
1997-08-21,4156.16015625,4156.16015625,4265.18994140625,4138.27001953125,4252.0498046875,0,4324.946484375,Unknown,4303.5069649775305,4311.0988894872025,-7.591924509672026,19.938417599590444,45.56806059391047,4324.946484375,4576.400388108825,4073.492580641175,-1.8530480522274797
1997-08-22,4047.669921875,4047.669921875,4144.169921875,4037.31005859375,4132.990234375,0,4314.773486328125,Unknown,4264.147419884834,4291.58563262704,-27.438212742205906,10.463091531231177,37.694178803278405,4314.773486328125,4593.757230713839,4035.7897419424103,-2.610347780074196
1997-08-26,4107.240234375,4107.240234375,4110.509765625,4038.580078125,4038.580078125,0,4308.8169921875,Unknown,4240.007852883321,4277.930417941703,-37.92256505838213,0.7859602133085124,38.746195386719,4308.8169921875,4600.543960535205,4017.0900238397935,1.4717186344188171
1997-08-27,4097.56005859375,4097.56005859375,4132.6201171875,4085.2900390625,4131.0498046875,0,4304.2044921875,Unknown,4218.092807608003,4264.569650582595,-46.47684297459273,-8.666600424271737,30.809033225193204,4304.2044921875,4606.576971760356,4001.832012614645,-0.2356856484856395
1997-08-28,3963.14990234375,3963.14990234375,4093.760009765625,3960.340087890625,4093.760009765625,0,4293.28798828125,Unknown,4178.870822182733,4242.242261824163,-63.37143964142979,-19.60756826770335,21.04746149777965,4293.28798828125,4628.317234213007,3958.258742349494,-3.2802485949682048
1997-08-29,3876.080078125,3876.080078125,3945.669921875,3851.0400390625,3916.580078125,0,4276.21298828125,Unknown,4132.287630789236,4215.119137105707,-82.83150631647095,-32.25235587745687,19.829118997303794,4276.21298828125,4658.907443669226,3893.518532893273,-2.196985386983674
1997-09-01,3943.669921875,3943.669921875,3948.919921875,3854.2099609375,3875.260009765625,0,4261.151977539063,Unknown,4103.269521725507,4195.011787829358,-91.74226610385084,-44.15033792273567,26.33887812999326,4261.151977539063,4671.730147151435,3850.5738079266903,1.7437679920868865
1997-09-02,3950.030029296875,3950.030029296875,3960.760009765625,3869.610107421875,3944.31005859375,0,4243.365490722656,Unknown,4079.694215198025,4176.8649909010255,-97.17077570300034,-54.75442547878861,28.075907792078866,4243.365490722656,4676.033684516848,3810.6972969284648,0.1612738273707004
1997-09-03,3965.389892578125,3965.389892578125,4016.2099609375,3946.429931640625,3966.8701171875,0,4224.268994140625,Unknown,4062.108934794964,4161.200168803033,-99.09123400806948,-63.62178718464479,22.909289315411712,4224.268994140625,4671.100834452274,3777.437153828976,0.3888543420512702
1997-09-04,4007.0400390625,4007.0400390625,4012.179931640625,3932.77001953125,3963.93994140625,0,4201.352490234375,Unknown,4053.636796989969,4149.780899933364,-96.1441029433945,-70.12625033639473,27.708873766172616,4201.352490234375,4643.1035843721365,3759.601396096613,1.0503417725033826
1997-09-05,4032.35009765625,4032.35009765625,4036.610107421875,4005.070068359375,4018.590087890625,0,4175.568994140625,Unknown,4050.361920169397,4141.082321986911,-90.72040181751343,-74.24508063261848,31.39938146092884,4175.568994140625,4591.57046123788,3759.5675270433694,0.6316397726754852
1997-09-08,4087.300048828125,4087.300048828125,4088.260009765625,4006.280029296875,4029.85009765625,0,4153.783508300781,Unknown,4056.0447091938167,4137.098449901075,-81.05374070725793,-75.60681264754638,37.21395435453055,4153.783508300781,4537.561395579605,3770.005621021957,1.3627276858676929
1997-09-09,4031.550048828125,4031.550048828125,4112.47998046875,4030.860107421875,4095.1201171875,0,4133.0080078125,Unknown,4052.2762999067872,4129.280049821597,-77.0037499148093,-75.88620010099896,41.77928782533655,4133.0080078125,4494.264127012418,3771.751888612583,-1.3639810959311438
1997-09-10,4045.610107421875,4045.610107421875,4050.280029296875,3998.320068359375,4018.75,0,4115.411511230469,Unknown,4051.2507318321855,4123.082276310506,-71.83154447832067,-75.0752689764633,37.543516643557545,4115.411511230469,4456.114155459866,3774.708867001072,0.3487506895229364
1997-09-11,4010.070068359375,4010.070068359375,4070.360107421875,4008.0,4057.89990234375,0,4091.8500244140623,4218.7401953125,4044.915245144061,4114.71100164746,-69.79575650339939,-74.01936648185053,39.79519618647291,4091.8500244140623,4388.317503434883,3795.382545393242,-0.8784840387189075
1997-09-12,3995.93994140625,3995.93994140625,4018.5,3979.429931640625,4013.010009765625,0,4070.3955322265615,4212.641796875,4037.380583030551,4105.913145333296,-68.53256230274474,-72.92200564602938,45.83783167935633,4070.3955322265615,4324.405758050327,3816.3853064027976,-0.3523660861842748
